,open,high,low,close,volume,weekday,month,year,return,volatility,sma_7,sma_14,rsi,obv
1999-11-18,76.75,78.19,75.25,77.94,5810400.0,3,11,1999,0.018823529411764683,0.03393741664463616,75.25999999999999,71.78642857142857,60.22278951032723,15253900.0
1999-11-19,77.88,78.13,76.06,77.94,5760600.0,4,11,1999,0.0,0.03432149111212151,76.10857142857142,72.41571428571429,60.22278951032723,15253900.0
1999-11-22,77.88,82.5,76.0,80.5,10708400.0,0,11,1999,0.03284577880420847,0.03524176034999497,77.17999999999999,73.41999999999999,66.36405959031657,25962300.0
1999-11-23,80.38,85.63,76.25,81.75,18332500.0,1,11,1999,0.01552795031055898,0.03486090668214392,78.15285714285713,74.55857142857143,68.28820559889857,44294800.0
1999-11-24,84.25,87.75,83.25,87.25,14483100.0,2,11,1999,0.06727828746177367,0.036808375868608335,80.11714285714285,76.28642857142857,76.1061946902655,58777900.0
1999-11-26,91.06,95.13,90.5,93.13,11496000.0,4,11,1999,0.0673925501432664,0.03540845302949146,82.14428571428572,78.3,78.00516590502683,70273900.0
1999-11-29,95.5,96.88,90.13,90.44,18053700.0,0,11,1999,-0.028884355202405176,0.0348854067770117,84.13571428571429,79.18857142857142,65.56556556556558,52220200.0
1999-11-30,88.27,88.88,83.81,85.06,13465500.0,1,11,1999,-0.05948695267580717,0.047400171310727865,85.15285714285713,80.20642857142857,68.67627785058978,38754700.0
1999-12-01,87.25,87.63,81.97,85.0,10663600.0,2,12,1999,-0.0007053844345168425,0.04743445341720386,86.16142857142856,81.135,67.55807671528905,28091100.0
1999-12-02,86.0,91.31,85.63,89.06,9538700.0,3,12,1999,0.04776470588235293,0.04876892283876516,87.38428571428571,82.28214285714286,70.03493013972057,37629800.0
1999-12-03,92.5,93.38,86.06,86.56,11151200.0,4,12,1999,-0.028070963395463777,0.051481616812997504,88.07142857142857,83.11214285714286,64.2962598425197,26478600.0
1999-12-06,86.88,89.88,84.69,87.38,9199200.0,0,12,1999,0.009473197781885379,0.044845002677695825,88.09000000000002,84.10357142857143,67.34132933533235,35677800.0
1999-12-07,88.0,88.0,84.38,86.06,6727100.0,1,12,1999,-0.015106431677729404,0.03405136974610326,87.08,84.61214285714286,59.91643454038998,28950700.0
1999-12-08,86.81,93.0,86.75,88.0,12867200.0,2,12,1999,0.022542412270508905,0.0350125048125384,86.73142857142857,85.43357142857143,66.24293785310735,41817900.0
1999-12-09,95.25,113.0,93.44,103.6,41364600.0,3,12,1999,0.17727272727272725,0.06931812894562678,89.38,87.26642857142858,75.88781275221955,83182500.0
1999-12-10,111.4,112.0,104.4,106.7,14929000.0,4,12,1999,0.02992277992277992,0.06797726163288274,92.48,89.32071428571429,77.30725408279531,98111500.0
1999-12-13,106.6,106.6,101.5,102.5,8653700.0,0,12,1999,-0.03936269915651358,0.07300451534143076,94.39999999999999,90.89214285714286,70.25782688766114,89457800.0
1999-12-14,103.8,104.0,95.0,95.63,10107900.0,1,12,1999,-0.0670243902439025,0.07874976874446266,95.69571428571429,91.88357142857144,61.58210947930575,79349900.0
1999-12-15,92.88,99.44,91.0,96.5,10133500.0,2,12,1999,0.009097563526090147,0.07875573463176093,96.99857142857142,92.54428571428572,58.36498462651474,89483400.0
1999-12-16,98.25,98.75,93.5,94.88,7004400.0,3,12,1999,-0.016787564766839402,0.07887159486892438,98.25857142857141,92.6692857142857,51.714677640603576,82479000.0
1999-12-17,97.19,97.63,93.81,94.06,5955900.0,4,12,1999,-0.00864249578414833,0.07935417426118992,99.12428571428572,92.92785714285712,53.681855166802286,76523100.0
1999-12-20,97.75,101.6,95.06,97.0,10566600.0,0,12,1999,0.03125664469487566,0.03608391824461104,98.18142857142857,93.78071428571427,62.77825342465753,87089700.0
1999-12-21,96.56,100.4,96.56,99.88,9509500.0,1,12,1999,0.029690721649484386,0.03604250541111205,97.20714285714287,94.84357142857142,65.01816713766652,96599200.0
1999-12-22,100.6,100.6,95.5,97.69,5921000.0,2,12,1999,-0.02192631157388869,0.03413214542524916,96.52,95.46000000000001,59.05181455842249,90678200.0
1999-12-23,98.0,99.0,89.06,90.0,12914600.0,3,12,1999,-0.07871839492271471,0.037697632181101726,95.71571428571428,95.7057142857143,53.25387816874764,77763600.0
1999-12-27,87.75,88.25,80.13,81.13,16523800.0,0,12,1999,-0.09855555555555562,0.049628845633011155,93.52,95.25928571428571,44.86947956000657,61239800.0
1999-12-28,83.06,86.5,81.56,82.31,10304300.0,1,12,1999,0.014544558116603046,0.05169285603834698,91.72428571428573,94.99142857142856,46.91459601777193,71544100.0
1999-12-29,83.44,85.38,82.63,83.5,5913000.0,2,12,1999,0.014457538573684925,0.053173493480271214,90.21571428571428,94.66999999999999,46.25124958347217,77457100.0
1999-12-30,84.63,85.13,78.5,79.06,9256600.0,3,12,1999,-0.05317365269461072,0.05026791168030043,87.65285714285713,92.91714285714286,24.88743348342203,68200500.0
1999-12-31,79.31,79.38,76.0,76.13,7270700.0,4,12,1999,-0.037060460409815366,0.04344104119697571,84.25999999999999,90.73357142857142,18.607516943931003,60929800.0
2000-01-03,81.5,89.56,80.0,89.38,16117600.0,0,1,2000,0.17404439774070668,0.09149599432048092,83.07285714285715,89.79642857142858,38.638725320401804,77047400.0
2000-01-04,85.38,91.5,81.75,81.94,17487400.0,1,1,2000,-0.08324009845603042,0.09208259918482846,81.92142857142856,88.81857142857142,38.261018693191566,59560000.0
2000-01-05,70.75,75.13,69.63,71.75,38457400.0,2,1,2000,-0.12435928728337808,0.09662950505419102,80.58142857142856,87.05071428571428,31.701907437527723,21102600.0
2000-01-06,71.31,72.69,64.0,65.56,18752000.0,3,1,2000,-0.08627177700348432,0.09922411015325247,78.18857142857142,84.95642857142857,29.69529085872577,2350600.0
2000-01-07,67.0,70.5,66.19,69.56,10505400.0,4,1,2000,0.06101281269066505,0.1039857992099006,76.19714285714285,83.20642857142857,33.74900504112496,12856000.0
2000-01-10,72.56,72.63,65.56,69.19,14757900.0,0,1,2000,-0.005319148936170248,0.10310987335321177,74.78714285714285,81.22000000000001,30.902348578491967,-1901900.0
2000-01-11,66.88,70.0,65.0,66.75,10532700.0,1,1,2000,-0.035265211735799884,0.10304649269814088,73.44714285714285,78.85357142857143,27.110681221500627,-12434600.0
2000-01-12,67.88,68.0,63.0,63.56,10804500.0,2,1,2000,-0.04779026217228466,0.06106533284569676,69.75857142857143,76.41571428571429,26.741174867111894,-23239100.0
2000-01-13,64.94,67.19,63.13,65.94,10448100.0,3,1,2000,0.037444933920704804,0.06562892705711029,67.47285714285714,74.69714285714285,32.32441962973847,-12791000.0
2000-01-14,66.75,68.5,64.0,64.25,6853600.0,4,1,2000,-0.025629360024264414,0.050496238840081156,66.40142857142857,73.49142857142859,36.13666228646518,-19644600.0
2000-01-18,63.44,65.19,63.0,64.13,5384900.0,1,1,2000,-0.001867704280155702,0.039364865267637904,66.19714285714285,72.19285714285714,34.80441323971915,-25029500.0
2000-01-19,64.13,67.5,63.0,66.81,8245500.0,2,1,2000,0.041790113831280395,0.034575949536470765,65.80428571428571,71.00071428571428,36.38884358179742,-16784000.0
2000-01-20,66.94,67.0,63.94,64.75,5978000.0,3,1,2000,-0.030833707528813092,0.035905724833163705,65.17,69.97857142857143,37.858476158153735,-22762000.0
2000-01-21,64.63,64.63,60.0,62.06,11461900.0,4,1,2000,-0.04154440154440153,0.03674346511613283,64.5,68.97357142857143,38.013290168682914,-34223900.0
2000-01-24,67.56,73.38,67.5,70.13,29170200.0,0,1,2000,0.13003544956493696,0.060118137184196535,65.43857142857142,67.59857142857143,32.012707905064474,-5053700.0
2000-01-25,70.0,71.25,66.0,69.25,9434100.0,1,1,2000,-0.012548124910879754,0.0600638612355411,65.91142857142857,66.69214285714285,36.485623003194895,-14487800.0
2000-01-26,68.63,70.0,64.75,64.81,6558000.0,2,1,2000,-0.06411552346570393,0.06524509313481078,65.99142857142857,66.19642857142857,41.577669902912625,-21045800.0
